rank,name,level,win
356,군고구마초록매실,75,229
357,오리지널찰떡쿠키,183,107
358,asdasdfdafqw,55,173
359,wybaby,161,132
360,HLE Seonbi,453,174
361,bilibili24400071,52,151
362,zxcvyn,152,228
363,Dont be arrogant,44,93
364,Mg mid,291,293
365,패배를까먹은사람,93,190
366,원딜 바보 이채환,304,247
367,KcitselddiF,189,135
368,iiliilliiIIi,317,215
369,Hang ln there,361,68
370,NanchangPopsmoke,54,165
371,nimamazhendu0,97,260
372,Hu Piao Liang,141,157
373,해강고 원딜,446,220
374,구I두라미,294,199
375,86 zhendewudi,452,184
376,bu sh1 ben ren,151,239
377,여주월,330,222
378,바밤밧,265,214
379,LSB TA K ON,198,251
380,1974892374892340,46,119
381,HLE Karis1,468,99
382,전설이 될 남자,821,482
383,LVLVLVLVLVLV,57,189
384,watdoesthefoxsay,60,227
385,Unknown Surf,350,112
386,쿠로미 마스크,507,120
387,Tangyuando,137,200
388,lanmeihaochi,62,222
389,대야웰백,429,140
390,Lpc123,63,249
391,Fatty,154,91
392,Kingen,647,107
393,특수교육 전공,251,70
394,cryscata,204,182
395,Top  Joker 6,347,175
396,mayuanshiren,56,190
397,화려하게 살거야,97,81
398,Grinding 24 7 ,301,325
399,anjingdayouxi,180,126
400,Capper,183,328
401,로또그랩전문,168,121
402,Lovely jiwon XD,124,293
403,푸쿠이,322,135
404,kkaammm,58,190
405,Touwa Eri0,63,243
406,은하수의 별,369,106
407,Carousel,47,91
408,yueqianlongma,54,178
409,일상이 이상해요,88,231
410,Iove u,73,277
411,우이우아아팅탱,145,91
412,qwerty789,58,198
413,laji fuzhu,94,141
414,Gen G VVinner,144,105
415,꿀벌호빗,410,278
416,므라기,226,171
417,ZED99,187,87
418,도전전문유튜버,98,138
419,shenzhenshaoye,199,171
420,xxxxxxxxxm1,308,185
421,인생은회전목마아,98,106
422,Sereno,592,100
423,Seulgi mozzi,514,75
424,fangqing,74,159
425,Yorick,575,101
426,순뀨박,121,198
427,노갱뒷감당알아서,560,360
428,나도모르는사이에,78,71
429,Enosh,343,254
430,갱플랭크,191,113
431,BRO Soboro,63,208
432,신장 과부,55,105
433,Feistyy,115,265
434,무슨 꿍꿍이,173,188
435,그땐 그저 좋았다,419,102
436,1904D,56,177
437,LastBloodShen,370,72
438,하인즈,402,359
439,좔리다,133,106
440,onaa,42,87
441,LSB Courage,261,161
442,펜니르,375,239
443,L1sure,250,148
444,htrec,67,196
445,서민의밥상중두,90,150
446,g1hf,53,175
447,Moo1,384,140
448,변함없는중국인들,699,357
449,매 혹,104,86
450,FIORAKlNG,275,137
451,이탈리야 전문점,472,128
452,간다라쿤다,622,165
453,JINTIANHAORE,44,101
454,Juhana,670,397
455,FA Decky,648,89
456,Bellwest,68,176
457,VAVAVAVAVA,277,332
458,전서방 닭갈비,208,97
459,T1 Roach,613,147
460,Qusiba daye,209,101
461,1998zhg,139,62
